Merged_ID,Date of Experiment_Day_1,Date_Imaged,Date_Imaged_GFAP,MouseID,Genotype,Sex,Plate (X of X for the week),"Section (A,B,C,D,E,F)",Category,Slice ,Count,Total Area,Average Size,%Area,Mean,IntDen,Particle_Size,Threshold,EXCLUDE
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Ipsilateral,P4_A_5.17.23_Ms_GFAP_Stitch (1)-1.tif,1154,1913,1.658,0.223,255,422.717,1-10,80,NO
5.17.23_P4_A,5.17.23,5.19.23 and 6.12.23,5/19/23,1941,WT,Female,P4,A,Ipsilateral,P4_A_5.17.23_Ms_GFAP_Stitch (1)-1.tif,94,574,6.106,0.067,255,1557.128,3.5-10,80,NO
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
__,,,,,,,,,,,,,,,,,,,
